用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
44,,,,WB2.5_财务管理_检验输入资金用途为全英文字母时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：693778625
资金用途：AAAaa
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：693778625
资金用途：AAAaa
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
45,,,,WB2.5_财务管理_检验输入资金用途为全数字时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：693778625
资金用途：1111
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：693778625
资金用途：1111
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
46,,,,WB2.5_财务管理_检验输入资金用途为全空时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：693778625
资金用途：
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：693778625
资金用途：
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
47,,,,WB2.5_财务管理_检验输入交易时间，金额，对方账号，资金用途都为空时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：
金额：
对方账号：
资金用途：
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：
金额：
对方账号：
资金用途：
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
48,,,,WB2.5_财务管理_检验导入excel格式文件,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—公账导入模块","1. 点击选择文件按钮
2. 选择一个woniu.xslx文件，点击打开
3. 点击提交按钮","1. 界面显示本台电脑弹框
2. 文件名显示框中显示woniu.xlsx文件，页面跳转公账导入界面，界面显示woniu.xlsx
3. 界面显示woniu.xslx文件",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
49,,,,WB2.5_财务管理_检验导入text格式文件,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—公账导入模块","1. 点击选择文件按钮
2. 选择一个woniu.txt格式文件，点击打开
3. 点击提交按钮","1. 界面显示本台电脑弹框
2. 文件名显示框中显示woniu.txt文件，页面跳转公账导入界面，界面显示woniu.txt
3. 点击无反应",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
50,,,,WB2.5_财务管理_检验导入doc格式文件,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—公账导入模块","1. 点击选择文件按钮
2. 选择一个woniu.doc格式文件，点击打开
3. 点击提交按钮","1. 界面显示本台电脑弹框
2. 文件名显示框中显示woniu.doc文件，页面跳转公账导入界面，界面显示woniu.doc
3. 点击无反应",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
51,,,,WB2.5_财务管理_检验导入ppt格式文件,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—公账导入模块","1. 点击选择文件按钮
2. 选择一个PPT格式文件，点击打开
3. 点击提交按钮","1. 界面显示本台电脑弹框
2. 文件名显示框中显示woniu.ppt文件，页面跳转公账导入界面，界面显示woniu.ppt
3. 点击无反应",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
52,,,,WB2.5_财务管理_检验状态搜索的待缴费选项的查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.存在学员缴费信息A：学员缴费状态为待缴费
4.存在学员缴费信息B：学员缴费状态为已缴定金","1. 状态搜索:待缴费
2. 点击查询按钮按钮","1. 下拉框跟下拉框中完整显示选择的内容
2. 学员缴费信息列表中显示学员缴费信息A",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
53,,,,WB2.5_财务管理_检验状态搜索的已缴定金选项的查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.存在学员缴费信息A：学员缴费状态为已缴定金
4.存在学员缴费信息B：学员缴费状态为未缴清","1. 状态搜索:已缴定金
2. 点击查询按钮按钮","1. 下拉框跟下拉框中完整显示选择的内容
2. 学员缴费信息列表中显示学员缴费信息A",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
54,,,,WB2.5_财务管理_检验状态搜索的未缴清选项的查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.存在学员缴费信息A：学员缴费状态为未缴清
4.存在学员缴费信息B：学员缴费状态为已缴定金","1. 状态搜索:未缴清
2. 点击查询按钮按钮","1. 下拉框跟下拉框中完整显示选择的内容
2. 学员缴费信息列表中显示学员缴费信息A",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
55,,,,WB2.5_财务管理_检验状态搜索的已缴清选项的查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.存在学员缴费信息A：学员缴费状态为已缴清
4.存在学员缴费信息B：学员缴费状态为未缴清","1. 状态搜索:已缴清
2. 点击查询按钮按钮","1. 下拉框跟下拉框中完整显示选择的内容
2. 学员缴费信息列表中显示学员缴费信息A",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
56,,,,WB2.5_财务管理_检验状态搜索的已退费选项的查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.存在学员缴费信息A：学员缴费状态为已退费
4.存在学员缴费信息B：学员缴费状态为已缴定金","1. 状态搜索:已退费
2. 点击查询按钮按钮","1. 下拉框跟下拉框中完整显示选择的内容
2. 学员缴费信息列表中显示学员缴费信息A",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
57,,,,WB2.5_财务管理_检验输入已存在姓名的查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.存在学员缴费信息A：学员姓名为陈怡","1. 学员姓名:陈怡
2. 点击查询按钮按钮","1. 下拉框跟下拉框中完整显示选择的内容
2. 学员缴费信息列表中显示学员缴费信息A",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
58,,,,WB2.5_财务管理_检验状态搜索和学员姓名的组合查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.存在学员缴费信息A：缴费状态为已缴清，学员姓名为陈怡
4.存在学员缴费信息B：缴费状态为已缴清，学员姓名为朱俊陇","1. 缴费状态:已缴清
学员姓名:陈怡
2. 点击查询按钮按钮","1. 缴费状态:已缴清
学员姓名:陈怡
2. 学员缴费信息列表中显示学员缴费信息A",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
59,,,,WB2.5_财务管理_检验每页条数记录功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.学员缴费信息记录中有超过50条记录","1. 点击每页条数的下拉框，选择10
2. 检查列表是否显示10条流水记录","1. 下拉框中完整显示选择的内容
2. 学员缴费列表中完整显示10条流水记录",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
60,,,,WB2.5_财务管理_检验下一页功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.学员缴费信息记录中有超过50条记录
4.每页显示10条记录",1. 点击上一页按钮,1. 学员缴费列表中显示第11条到第20条流水记录,,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
61,,,,WB2.5_财务管理_检验页数功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.学员缴费信息记录中有超过50条记录
4.每页显示10条记录",1. 点击第三页,1. 学员缴费列表中显示第21条到第30条流水记录,,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
62,,,,WB2.5_财务管理_检验上一页功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.学员缴费信息记录中有超过50条记录
4.每页显示10条记录",1. 点击上一页,1. 学员缴费列表中显示第11条到第20条流水记录,,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
63,,,,WB2.5_财务管理_检验修改缴费状态为已退费时退费操作,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.存在学员缴费信息A：缴费状态为已缴清","1. 点击学员缴费信息列表中的缴费/退费按钮
2. 将缴费状态修改为已退费，点击退费按钮","1. 界面出现该学员的缴费信息弹窗
2. 缴费状态下拉框中完整显示已退费选项，已退费列表中存在该条学员信息，财务流水记录中存在该条支出财务信息",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
64,,,,WB2.5_财务管理_检验修改缴费状态为已缴清时的缴费操作,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.存在学员缴费信息A：缴费状态为已退费","1. 点击学员缴费信息列表中的缴费/退费按钮
2. 将缴费状态修改为已缴清，点击缴费按钮","1. 界面出现该学员的缴费信息弹窗
2. 缴费状态下拉框中完整显示已缴清选项，已缴清列表中存在该条学员信息，财务流水记录中存在该条收入财务信息",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
65,,,,WB2.5_财务管理_检验修改缴费状态为未缴清时的缴费操作,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—学员缴费模块
3.存在学员缴费信息A：缴费状态已缴清","1. 点击学员缴费信息列表中的缴费/退费按钮
2. 将缴费状态修改为未缴清，点击缴费按钮","1. 界面出现该学员的缴费信息弹窗
2. 缴费状态下拉框中完整显示已缴清选项，未缴清列表中存在该条学员信息，财务流水记录中存在该条收入财务信息",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
66,,,,WB2.5_财务管理_检验解密功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理
3.财务流水记录列表中无法显示金额","1. 解密按钮，输入密码woniu123
2. 点击解密","1. 界面出现请输入二级密码进行解密弹窗，输入框中显示隐藏输入内容的●●●●●●●●●
2. 财务流水记录列表中完整显示所有信息",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
67,,,,WB2.5_财务管理_财务人员账号的权限检验,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理
3.财务流水记录列表中无法显示金额","1. 进行解密操作
2. 进行新增流水操作
3. 进行查询财务流水记录和学员缴费信息操作","1. 解密成功
2. 新增成功
3. 查询成功",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
68,,,,WB2.5_财务管理_市场部人员账号的权限检验,1.使用市场部人员账号登录成功WNCD021/woniu123,1. 进入财务管理界面,1. 界面中无法显示财务管理模块,,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
69,,,,WB2.5_财务管理_管理员账号的权限检验,"1.使用财务人员账号登录成功WNCD000/woniu123
2.进入财务管理
3.财务流水记录列表中无法显示金额","1. 进行解密操作
2. 进行新增流水操作
3. 进行查询财务流水记录操作","1. 解密成功
2. 新增成功
3. 查询成功",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
70,,,,WB2.5_财务管理_总经理账号的权限检查,"1.使用财务人员账号登录成功WNCD001/woniu123
2.进入财务管理
3.财务流水记录列表中无法显示金额","1. 进行解密操作
2. 进行查询流水记录
3. 进行查询学员缴费信息","1. 解密成功
2. 查询流水记录成功
3. 查询学员缴费信息成功",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
