用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
81,,,,WB2.5_培训资源_转交责任人_查询_咨询师倪雪查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据C 罗艺文 成都 专属 新入库 18784406671","1.咨询师选择倪雪
2.点击搜索","1.咨询师选择成功
2.数据C显示成功",,,,,,,,,,,,,,,,
83,,,,WB2.5_培训资源_转交责任人_查询_咨询师姚彦龙查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据D 罗艺文 成都 专属 新入库 18784406671","1.咨询师选择姚彦龙
2.点击搜索","1.咨询师选择成功
2.数据D显示成功",,,,,,,,,,,,,,,,
84,,,,WB2.5_培训资源_转交责任人_查询_状态_已预约查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据杜小东 成都 专属 已预约 13679093350","1.状态选择已预约
2.点击搜索","1.状态选择成功
2.数据杜小东显示成功",,,,,,,,,,,,,,,,
85,,,,WB2.5_培训资源_转交责任人_查询_状态_已上门查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据廖凯 成都 专属 已上门 13778228826","1.状态选择已上门
2.点击搜索","1.状态选择成功
2.数据廖凯显示成功",,,,,,,,,,,,,,,,
86,,,,WB2.5_培训资源_转交责任人_查询_状态_在投递查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 陆朋 成都 专属 再投递 15982087170","1.状态选择在投递
2.点击搜索","1.状态选择成功
2.数据陆朋显示成功",,,,,,,,,,,,,,,,
87,,,,WB2.5_培训资源_转交责任人_查询_状态_已报名查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 马阳 成都 专属 已报名 18681873872","1.状态选择已报名
2.点击搜索","1.状态选择成功
2.数据马阳显示成功",,,,,,,,,,,,,,,,
88,,,,WB2.5_培训资源_转交责任人_查询_状态_在投递查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 陆朋 成都 专属 再投递 15982087170","1.状态选择在投递
2.点击搜索","1.状态选择成功
2.数据陆朋 显示成功",,,,,,,,,,,,,,,,
89,,,,WB2.5_培训资源_转交责任人_查询_状态_可跟进查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 庹万峰 成都 专属 可跟进 18780034632","1.状态选择可跟进
2.点击搜索","1.状态选择成功
2.数据 庹万峰 显示成功",,,,,,,,,,,,,,,,
90,,,,WB2.5_培训资源_转交责任人_查询_状态_无意向查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 吴建波 成都 专属 无意向 ","1.状态选择无意向
2.点击搜索","1.状态选择成功
2.数据 吴建波  显示成功",,,,,,,,,,,,,,,,
91,,,,WB2.5_培训资源_转交责任人_查询_状态_未联系上查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 亢立欣 成都 前程无忧 未联系上 17611341218","1.状态选择未联系上
2.点击搜索","1.状态选择成功
2.数据亢立欣  显示成功",,,,,,,,,,,,,,,,
92,,,,WB2.5_培训资源_转交责任人_查询_状态_培训过查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 尧凤进 成都 专属 培训过 13076062710","1.状态选择培训过
2.点击搜索","1.状态选择成功
2.数据尧凤进  显示成功",,,,,,,,,,,,,,,,
93,,,,WB2.5_培训资源_转交责任人_查询_状态_条件不符查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 吴钰彬 成都 专属 条件不符 18981259270","1.状态选择条件不符
2.点击搜索","1.状态选择成功
2.数据吴钰彬   显示成功",,,,,,,,,,,,,,,,
94,,,,WB2.5_培训资源_分配资源_检查UI是否正常,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击分配资源
2.查看界面UI","1.进入分配资源功能
2.界面UI符合需求",,,,,,,,,,,,,,,,
95,,,,WB2.5_培训资源_分配资源_检查分配资源的输入框和下拉框是否正常,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在部分未分配的资源
4.进入分配资源功能界面",1.检查输入框和下拉框,1.输入框和下拉框显示正常,,,,,,,,,,,,,,,,
96,,,,WB2.5_培训资源_分配资源_渠道选择专属_正确的姓名,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 李林 成都 专属 18108113807","1.渠道选择专属
2.姓名选择李林
3.点击搜索","1.渠道选择成功
2.姓名选择成功
3.数据李林可以搜锁成功",,,,,,,,,,,,,,,,
99,,,,WB2.5_培训资源_分配资源_渠道选择全部_正确的电话号码,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 黄臣 成都 专属 17608013558","1.渠道选择全部
2.电话号码输入17608013558
3.点击搜索","1.渠道选择成功
2.电话号码输入成功
3.数据黄臣搜索成功",,,,,,,,,,,,,,,,
100,,,,WB2.5_培训资源_分配资源_渠道选择全部_不输入搜索信息,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 黄臣 成都 专属 17608013558","1.渠道选择全部
2.点击搜索","1.渠道选择成功
2.数据黄臣搜索成功",,,,,,,,,,,,,,,,
103,,,,WB2.5_培训资源_分配资源_分配资源给全部,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 黄臣 成都 专属 17608013558","1.勾选黄臣
2.分配资源选择全部
3.点击分配","1.成功勾选黄臣
2.选择成功
3.分配失败",,,,,,,,,,,,,,,,
104,,,,WB2.5_培训资源_分配资源_分配一个资源给倪雪,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 黄臣 成都 专属 17608013558","1.勾选黄臣
2.分配资源选择倪雪
3.点击分配","1.成功勾选黄臣
2.选择成功
3.分配成功",,,,,,,,,,,,,,,,
105,,,,WB2.5_培训资源_分配资源_分配多个资源给姚彦龙,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 张家兰 成都 专属 14780157978  姜升冠 成都 专属 18228134123","1.勾选资源
2.分配资源选择姚彦龙
3.点击分配","1.成功勾选黄臣
2.选择成功
3.分配成功",,,,,,,,,,,,,,,,
108,,,,WB2.5_培训资源_分配资源_资源可以进行取消,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 张家兰 成都 专属 14780157978  姜升冠 成都 专属 18228134123","1.勾选资源
2.取消勾选","1.成功勾选资源
2.可以进行取消勾选",,,,,,,,,,,,,,,,
109,,,,WB2.5_培训资源_分配资源_资源可以进行全选,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 张家兰 成都 专属 14780157978  姜升冠 成都 专属 18228134123",1.全选资源,1.资源全选成功,,,,,,,,,,,,,,,,
111,,,,WB2.5_培训资源_分配资源_按比例分配的每个输入框检查_是否可以进行输入,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 张家兰 成都 专属 14780157978  姜升冠 成都 专属 18228134123",1.点击按比例分配,1.弹出按比例分配界面,,,,,,,,,,,,,,,,
112,,,,WB2.5_培训资源_分配资源_按比例分配的每个输入框检查_是否可以输入非数字字符,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 张家兰 成都 专属 14780157978  姜升冠 成都 专属 18228134123","1.点击按比例分配
2.输入99^^^^
3.点击保存","1.弹出按比例分配界面
2.输入成功
3.保存成功",,,,,,,,,,,,,,,,
113,,,,WB2.5_培训资源_分配资源_按比例分配的每个输入框检查_无百分号资源分配,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 张家兰 成都 专属 14780157978  姜升冠 成都 专属 18228134123","1.点击按比例分配
2.删除%
3.点击保存","1.弹出按比例分配界面
2.输入成功
3.保存成功",,,,,,,,,,,,,,,,
115,,,,WB2.5_培训资源_098_成功_分配资源_将百分比改成大于100_查看分配结果,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.进入分配资源功能界面
4.存在数据 张家兰 成都 专属 14780157978  姜升冠 成都 专属 18228134123","1.点击按比例分配
2.百分比改成19000
3.点击保存","1.弹出按比例分配界面
2.输入成功
3.保存成功",,,,,,,,,,,,,,,,
116,,,,WB2.5_培训资源_公共资源_全默认查询,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 成都 尧凤进 培训过 专属 19 本科","1.点击公共资源池
2.点击搜索","1.进入公共资源池界面
2.可以查询到尧凤进的数据",,,,,,,,,,,,,,,,
117,,,,WB2.5_培训资源_公共资源_状态新入库,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 重庆 彦 新入库 老学员介绍 - 本科","1.点击公共资源池
2.状态选择新入库
3.点击搜索","1.进入公共资源池界面
2.状态选择成功
3.数据彦搜索成功",,,,,,,,,,,,,,,,
124,,,,WB2.5_培训资源_公共资源_状态无意向,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
4.存在数据成都 吴建波 无意向 专属","1.点击公共资源池
2.状态选择无意向
3.点击搜索","1.进入公共资源池界面
2.状态选择成功
3.数据吴建波搜索成功",,,,,,,,,,,,,,,,
,,,,WB2.5_培训资源_成功_公共资源_状态培训过,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
5.存在数据成都 尧凤进 培训过 专属","1.点击公共资源池
2.状态选择培训过
3.点击搜索","1.进入公共资源池界面
2.状态选择成功
3.数据 尧凤进搜索成功",,,,,,,,,,,,,,,,
,,,,WB2.5_培训资源_公共资源_状态条件不符,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
6.存在数据成都 吴钰彬 条件不符","1.点击公共资源池
2.状态选择条件不符
3.点击搜索","1.进入公共资源池界面
2.状态选择成功
3.数据 吴钰彬搜索成功",,,,,,,,,,,,,,,,
,,,,WB2.5_培训资源_公共资源_咨询师李娇,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
6.存在数据 成都 蒲明星 新入库 专属 1996/4 大专","1.点击公共资源池
2.咨询师选择李娇
3.点击搜索","1.进入公共资源池界面
2.状态选择成功
3.数据 蒲明星搜索成功",,,,,,,,,,,,,,,,
,,,,WB2.5_培训资源_公共资源_咨询师认领资源查询,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
6.存在数据 成都 黄义洲 新入库 专属 21 本科","1.点击公共资源池
2.勾选资源
3.点击认领
4.检查数据","1.进入公共资源池界面
2.资源勾选成功
3.认领成功
4.数据已认领",,,,,,,,,,,,,,,,
,,,,WB2.6_培训资源_管理员权限检查,"1.存在管理员账号wncd0900/woniu123/woniu123
2.已进入蜗牛boss系统","1.点击培训资源
2.点击搜索","1.进入成功
2.搜索成功",,,,,,,,,,,,,,,,
,,,,WB2.7_培训资源_讲师权限检查,"1.存在讲师账号wncd051/woniu123/woniu123
2.已进入蜗牛boss系统","1.点击培训资源
2.点击搜索","1.进入成功
2.搜索失败",,,,,,,,,,,,,,,,
,,,,WB2.8_培训资源_咨询师权限检查,"1.存在咨询师账号wncd023/woniu123/woniu123
2.已进入蜗牛boss系统","1.点击培训资源
2.点击搜索","1.进入成功
2.搜索失败",,,,,,,,,,,,,,,,
